Concept,NWT_2005_EML,NWT_2006_EML,NWT_2007_EML,NWT_2010_EML,NWT_2013_EML,NWT_2015_EML,NWT_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Metadata Contact,0.12101910828025478,0.0,0.5833333333333334,0.0,1.0,0.7467811158798283,0.0
Contributor Name,0.10191082802547773,0.0,0.5833333333333334,0.0,0.0,0.4034334763948498,0.0
Publisher,1.0,1.0,1.0,1.0,1.0,0.96137339055794,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,0.9828326180257512,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.05732484076433121,0.5,0.0,0.0,0.0,0.017167381974248927,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,0.9699570815450644,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,0.75
Resource Use Constraints,0.1592356687898089,0.0,0.5833333333333334,0.0,1.0,0.759656652360515,1.0
Process Step,0.16560509554140124,0.0,0.5833333333333334,0.0,1.0,0.5364806866952789,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.15286624203821655,0.0,0.5833333333333334,0.0,1.0,0.30472103004291845,1.0
Attribute Definition,0.6178343949044586,0.0,1.0,1.0,1.0,0.5450643776824035,1.0
Resource Access Constraints,0.1337579617834395,0.0,0.5833333333333334,0.0,1.0,1.0,1.0
Resource Format,0.6178343949044586,0.0,1.0,1.0,1.0,0.5450643776824035,1.0
Attribute List,0.6178343949044586,0.0,1.0,1.0,1.0,0.5450643776824035,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0
