XPath,154.1.xml,155.1.xml,156.1.xml
/eml:eml/@packageId,1,1,1
/eml:eml/@system,1,1,1
/eml:eml/@xsi:schemaLocation,1,1,1
/eml:eml/access,5,5,5
/eml:eml/access/@authSystem,1,1,1
/eml:eml/access/@order,1,1,1
/eml:eml/access/@scope,1,1,1
/eml:eml/access/@system,1,1,1
/eml:eml/access/allow/permission,2,2,2
/eml:eml/access/allow/principal,2,2,2
/eml:eml/dataset/abstract,1,1,1
/eml:eml/dataset/abstract/para,1,1,1
/eml:eml/dataset/alternateIdentifier,1,1,1
/eml:eml/dataset/contact,1,1,1
/eml:eml/dataset/contact/address/administrativeArea,1,1,1
/eml:eml/dataset/contact/address/city,1,1,1
/eml:eml/dataset/contact/address/country,1,1,1
/eml:eml/dataset/contact/address/deliveryPoint,1,1,1
/eml:eml/dataset/contact/electronicMailAddress,1,1,1
/eml:eml/dataset/contact/individualName/givenName,1,1,1
/eml:eml/dataset/contact/individualName/surName,1,1,1
/eml:eml/dataset/contact/organizationName,1,1,1
/eml:eml/dataset/contact/phone,1,1,1
/eml:eml/dataset/contact/phone/@phonetype,1,1,1
/eml:eml/dataset/contact/positionName,1,1,1
/eml:eml/dataset/coverage/geographicCoverage,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/eastBoundingCoordinate,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/northBoundingCoordinate,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/southBoundingCoordinate,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/boundingCoordinates/westBoundingCoordinate,1,1,1
/eml:eml/dataset/coverage/geographicCoverage/geographicDescription,1,1,1
/eml:eml/dataset/coverage/temporalCoverage,1,1,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1,1,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate,1,1,1
/eml:eml/dataset/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1,1,1
/eml:eml/dataset/creator,4,4,4
/eml:eml/dataset/creator/address/administrativeArea,1,1,1
/eml:eml/dataset/creator/address/city,1,1,1
/eml:eml/dataset/creator/address/country,1,1,1
/eml:eml/dataset/creator/address/deliveryPoint,2,2,2
/eml:eml/dataset/creator/address/postalCode,1,1,1
/eml:eml/dataset/creator/electronicMailAddress,4,4,4
/eml:eml/dataset/creator/individualName/givenName,1,1,1
/eml:eml/dataset/creator/individualName/surName,1,1,1
/eml:eml/dataset/creator/organizationName,2,2,2
/eml:eml/dataset/creator/phone,1,1,1
/eml:eml/dataset/creator/phone/@phonetype,1,1,1
/eml:eml/dataset/creator/positionName,1,1,1
/eml:eml/dataset/dataTable/attributeList,1,1,1
/eml:eml/dataset/dataTable/attributeList/attribute/attributeDefinition,31,34,29
/eml:eml/dataset/dataTable/attributeList/attribute/attributeLabel,31,34,29
/eml:eml/dataset/dataTable/attributeList/attribute/attributeName,31,34,29
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/dateTime/formatString,2,2,2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/numericDomain/numberType,1,1,1
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/precision,2,2,2
/eml:eml/dataset/dataTable/attributeList/attribute/measurementScale/ratio/unit/standardUnit,2,2,2
/eml:eml/dataset/dataTable/attributeList/attribute/storageType,2,3,3
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/beginDate/calendarDate,1,1,1
/eml:eml/dataset/dataTable/coverage/temporalCoverage/rangeOfDates/endDate/calendarDate,1,1,1
