Concept,NWT_2005_EML,NWT_2006_EML,NWT_2007_EML,NWT_2010_EML,NWT_2013_EML,NWT_2015_EML,NWT_2018_EML
Resource Identifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Resource Title,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Author / Originator,1.08,1.0,1.0,1.0,2.0,1.33,2.0
Metadata Contact,0.12,0.0,0.58,0.0,1.0,0.81,0.0
Contributor Name,0.2,0.0,1.17,0.0,0.0,0.77,0.0
Publisher,1.0,1.0,1.0,1.0,1.0,0.96,1.0
Publication Date,1.0,1.0,1.0,1.0,1.0,0.98,1.0
Resource Contact,1.0,1.0,1.0,1.0,1.0,2.14,1.25
Abstract,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Keyword,12.29,10.0,9.17,15.5,53.0,22.27,20.25
Resource Distribution,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spatial Extent,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Taxonomic Extent,0.06,0.5,0.0,0.0,0.0,0.02,0.0
Temporal Extent,1.0,1.0,1.0,1.0,1.0,0.97,1.0
Maintenance,1.0,1.0,1.0,1.0,1.0,1.0,0.75
Resource Use Constraints,0.16,0.0,0.58,0.0,1.0,0.76,1.0
Process Step,0.17,0.0,0.58,0.0,1.0,0.54,1.0
Project Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Entity Type Definition,0.16,0.0,0.58,0.0,1.0,0.31,1.0
Attribute Definition,9.4,0.0,4.83,11.0,31.33,9.28,19.0
Resource Access Constraints,0.13,0.0,0.58,0.0,1.0,1.0,1.0
Resource Format,0.62,0.0,1.0,1.0,1.0,0.55,1.0
Attribute List,0.62,0.0,1.0,1.0,1.0,0.55,1.0
Attribute Constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Resource Quality Description,0.0,0.0,0.0,0.0,0.0,0.0,0.0
